"Name","Phone","Email","Address","City","State","Licence"
"Western Wellness - Pre ICO","562-313-1199","westernwellnessla@gmail.com","9127 S. Western Ave","Los Angeles","Ca","medical"
"Patients and Caregivers ","(818) 508-0434","patientsandcaregivers@yahoo.com","6141 Vineland Ave.","North Hollywood","CA","medical"
"Bikini 35","714-576-1631","euclidbikini35@gmail.com","700 S. Euclid St.","Anaheim","Ca","medical"
"25 CAP The Green Library ","(424) 216-0863","tglibraryonpacific@gmail.com","7214 Pacific Blvd","Walnut Park","CA","medical"
"Broadway LA Pharmacy","(323) 495-5573","broadwaylapharmacy@gmail.com","9304 S. Broadway","Los Angeles","CA","medical"
"Pure Meds","619-382-4373","puremedssd@gmail.com","6176 Federal Blvd.","San Diego","CA","medical"
"MTHC","(951) 384-5633","mthc.riverside@gmail.com","5543 Mission Blvd","Riverside","CA","medical"
"LA FLIGHT CLUB","323-559-7992","flightclubcpt@gmail.com","4524 S. Broadway","Los Angeles","California","medical"
"CPA ","424-266-9901","cannabispatientalliance@gmail.com","844 West Gardena Blvd","Gardena","CA","medical"
"TRU 35 CAP - Moreno Valley ","951-337-6503","tru35cap@gmail.com","24515 Alessandro Blvd., Suite B","Moreno Valley","CA","medical"
"NHC: NATURAL HEALTH","(626) 460-2129","naturalhealthmedicalservices@gmail.com","3843 E COLORADO BLVD","PASADENA","CA","medical"
"8805 Caregivers","(747) 223-2021","8805hc@gmail.com","8805 Sunland Blvd.","Sun Valley","CA","medical"
"Alternative Access Association - Perris","(951) 385-5130","alternativeaccessassociation@gmail.com","24600 HWY 74","Perris","CA","medical"
"7 Leaf Collective ","323-485-4078","limitlessmeds@gmail.com","5446 Pomona Blvd","Los Angeles","CA","medical"
"The Warehouse - San Bernardino","(909) 567-2277","kornerstore@yahoo.com","995 N D St","San Bernardino","Ca","medical"
"GHC - Upland","(909) 271-3457","GHC420420@YAHOO.COM","1232 W 9th st Suite A","Upland","CA","medical"
"Organic Green Treatment Center - Prop D Compliant"," 323-733-3644","ogtc.la@GMAIL.COM","3644 11th Avenue","Los Angeles","Ca","medical"
"HACC","310-320-0498","haccnc@gmail.com","1613 West Carson Street #104","Torrance","CA","medical"
"Live 2 Love","310-763-0513 (working!)","Live2LoveRD@gmail.com","2100 South Santa Fe Ave (Unit D)","Compton","CA","medical"
"C.A.P.S. - Palm Springs","760-864-8700","caps4050@gmail.com","4050 Airport Center Drive, Suite C","Palm Springs","CA","medical"
"Happy Leaf Collective","310-475-2500","HappyLeafCollective@yahoo.com","2131 Westwood Blvd","Los Angeles","CA","medical"
"CannaSutra Pre-ICO ","8183928302 ","cannasutracollective@gmail.com","11101 Ventura Blvd","Studio City","California","medical"
"Huntington Beach Class of 420","714-951-7072","classof420hb@gmail.com","19092 Beach Blvd #K","Huntington Beach","CA","medical"
"High Times OG Smoking Lounge","760-521-1506","hightimesogsmokinglounge@gmail.com","Call for Address","Vista","CA","medical"
"Forest Boundary","909-228-6061","forestboundarycorona@gmail.com   $35 CAP","22355 Forest Boundary Rd/Retreat Parkway","Corona","CA","medical"
"So-Cal Co-op","818-914-4736","alwaysmiles420@yahoo.com","6322 Fallbrook Ave,.","Woodland Hills","CA","medical"
"420 Central ","714.540.4420","info@420central.org","420 W Central","Santa Ana","CA","medical"
"Riverside Caregiving Association ","9514579178","rca420420@yahoo.com","6321 Jones AVE","Riverside","CA","medical"
"Hugs Alternative Care","916-452-3699","hugscare@att.net","2035 Stockton Blvd","Sacramento","CA","medical"
"Antelope Valley Diamond Collective","661-256-7753","antelopevalleydiamondcollective@yahoo.com","1733 Sierra Highway","Rosamond","CA","medical"
"California Collective Care","707.643.6313","ccclewisbrown@gmail.com","1639 Lewis Brown Drive","Vallejo","CA","medical"
"Herbal Cruz Inc.","(831) 462-9999","herbalcruzsc420@gmail.com","1051 41st Avenue","Santa Cruz","CA","medical"
"$100 OZ (STORE)","16196275118","Nkbcollective@gmail.com","13739 SUITE B Highway 8 Business 92021","EL Cajon","CA","medical"
"Blue Sky Care Center","(408) 225-1221","info@blueskycarecenter.com","3039 Monterey Rd.","San Jose","CA","medical"
"National Charms","6193966031","nationalcharms1@gmail.com","3094 National Ave Suite C","San Diego","CA","medical"
"The Green Easy","(323) 424 - 3035","thegreeneasy3@gmail.com","8311 Beverly Blvd","Los Angeles","CA","medical"
"Shatter Wholesale ","714-341-0868","shatterwholesale@gmail.com","CALL/Text FOR ADDRESS","Fontana","CA","medical"
"515 Broadway - Sacramento ","(844) SAC-WEED","info@515Broadway.com","515 Broadway","Sacramento","CA","medical"
"Rose Collective ","(310) 392-3890","info@rosecollective.com","411 Rose Ave","Venice","CA","medical"
"Waterfall Wellness","415-859-5761","waterfallstaff@gmail.com","1545 Ocean Avenue","San Francisco","CA","medical"
"Parker Green","928-667-0000","hdhparkergreen@yahoo.com","9356 Moovalya Estates Drive","Parker","AZ","medical"
"Cal Green Medical","(805) 770-3947","calgreenmedical@gmail.com","164 Aero Camino","Goleta","CA","medical"
"Emerald Pharms ","707.669.4819","chelsea@emeraldpharms.com","13771 U.S. 101","Hopland","CA","medical"
"Oakland Community Partners","510-835-2151","ocpinfo@att.net","1776 Broadway","Oakland","California","medical"
"2ONE2 California Street Dispensary ","415-373-0555","EXCLUSIVE PROVIDER OF MASTER EXTRACTORS - THE GOLD STANDARD IN VAPOR CARTRIDGES@   2one2californiastreet.com","212 California St","San Francisco","CA","medical"
"DabLabz - Garden Grove","714-760-4948","DabLabzOC@gmail.com","14136 BROOKHURST ST","Garden Grove","CA","medical"
"HOUSE OF DANK 25 CAP !!Grand Opening!!","(424)777-5072","DANKHOUSE25@GMAIL.COM","1121 North Gaffey Street","SAN PEDRO","CA","medical"
"GNC "," (619) 417-3773","goldennuggetcollective@gmail.com","7140 University Ave Suite A","Home of the 4 Gram 1/8","CA","medical"
"On Deck Buds - ODB","714-468-4142","ondeckbuds@gmail.com","12371 Haster St. #203","Garden Grove","Ca","medical"
"Green Cross of Torrance ","310-533-9363","thegreencross1@gmail.com","1658 West Carson St. Suite B","Torrance","CA","medical"
"Evergreen ","951-530-8445","eg710evergreen@gmail.com","5400 Mission Blvd","Riverside","CA","medical"
"GEP - PRE ICO","4242509775","GEPclinic@gmail.com","1227 West 253rd st","HARBOR CITY","CA","medical"
"The JOINT - Santa Ana - 92705","714-845-3420","thejointsantaana@gmail.com","1325 East St Andrew Place,","Santa Ana","CA","medical"
"Southwest Patient Group ","(619)663-6337","support@southwestpatientgroup.com","658 East San Ysidro Blvd","San Diego","CA","medical"
"AMG","310-476-0222","alternativemg@gmail.com","641 N. Sepulveda Blvd. Suite 200","Los Angeles","CA","medical"
"LA Meds 4 less ","213-744-9474","lameds4less@gmail.com","1720 East 14th st SUITE #A","Los Angeles","CA","medical"
"Pot of Gold Collective","6196065861","infopogshop@gmail.com","3275 ADAMS AVE, UNIT (A) ""1st FLOOR""","San Diego","CA","medical"
"Kush Mart","619-484-8775","kushmart1915@gmail.com","1915 Una Street","San Diego","CA","medical"
"Organic Solutions - Whittier","562-236-7510","truorganic17@gmail.com","Call For Address Or Delivery!","Whittier","CA.","medical"
" Mary Jane's ","323 466 6636","mjcollective99@gmail.com","4901 Melrose Ave.","Los Angeles","CA","medical"
"Surf City Collective ","562-374-5914","surfcity310@gmail.com","16206 Hawthorne Blvd","Lawndale","CA","medical"
"The House of Cannabis","619-850-7405","thehouseofcannabis619@gmail.com","976 Broadway","El Cajon","CA","medical"
"La Brea Collective - LBC","323-424-3908","labreacollective@gmail.com","5057 W. Pico Blvd","Los Angeles","CA","medical"
"The Higher Path PRE-ICO ","818-385-1224, 818-261-0340 Vendor Line","thehigherpathcollective@gmail.com","14080 Ventura Blvd","Sherman Oaks","California","medical"
"All American Patient Association","951-926-2300","allamericanpatientsassociation@gmail.com","31838 State Highway 74","Homeland","Ca","medical"
"Golden State Collective","626-844-5060","goldenstate@mail.com","50 N. Mentor","Pasadena","CA","medical"
"Sun Valley Caregivers 35 CAP SVC","818-504-2661","svcaregivers@gmail.com","11000 Randall St. #E","Sun Valley","CA","medical"
"Medical Caregivers Co-Op ","(323)576-2153","medicalcaregiverscoop@yahoo.com","1039 North Mission Rd.","Los Angeles","CA","medical"
"HLP","7475296830","HealthyLifeStaff@gmail.com","15242 Parthenia Street","North Hills","CA","medical"
"Emperor 35","8185786138","emperor_reseda@yahoo.com","18540 Sherman Way","Reseda","CA","medical"
"Airside PRE-ICO","(818) 901-2660","airsidewellness@gmail.com","HOME OF GORILLA GLUE #4 7250 Valjean Ave.","Van Nuys","CA","medical"
"H.H.C ","909-736-7808","highlandheal.c@gmail.com","267 E. Highland","San Bernardino","CA","medical"
